Kraj,Rok,Prognozowana liczba samochodów osobowych
Polska,2005,12994680.931578875
Polska,2006,13794980.143859625
Polska,2007,14595279.356140137
Polska,2008,15395578.568420887
Polska,2009,16195877.780701637
Polska,2010,16996176.992982388
Polska,2011,17796476.205263138
Polska,2012,18596775.41754365
Polska,2013,19397074.6298244
Polska,2014,20197373.84210515
Polska,2015,20997673.0543859
Polska,2016,21797972.266666412
Polska,2017,22598271.478947163
Polska,2018,23398570.691227913
Polska,2019,24198869.903508663
Polska,2020,24999169.115789413
Polska,2021,25799468.328069925
Polska,2022,26599767.540350676
Polska,2023,27400066.752631426
Polska,2024,28200365.964912176
Polska,2025,29000665.177192926
Polska,2026,29800964.38947344
Polska,2027,30601263.60175419
Polska,2028,31401562.81403494
Polska,2029,32201862.02631569
Polska,2030,33002161.23859644
Polska,2031,33802460.45087695
Polska,2032,34602759.6631577
Polska,2033,35403058.87543845
Polska,2034,36203358.0877192
Polska,2035,37003657.29999995
Polska,2036,37803956.512280464
Polska,2037,38604255.724561214
Polska,2038,39404554.936841965
Polska,2039,40204854.149122715
Polska,2040,41005153.361403465
