Kraj,Rok,AIC per capita (PPS)
Czechy,1995,7100.0
Czechy,1996,7800.0
Czechy,1997,7900.0
Czechy,1998,8000.0
Czechy,1999,8300.0
Czechy,2000,8600.0
Czechy,2001,9300.0
Czechy,2002,9500.0
Czechy,2003,10200.0
Czechy,2004,10700.0
Czechy,2005,11100.0
Czechy,2006,11400.0
Czechy,2007,12100.0
Czechy,2008,12700.0
Czechy,2009,12900.0
Czechy,2010,13400.0
Czechy,2011,13600.0
Czechy,2012,13700.0
Czechy,2013,14300.0
Czechy,2014,14800.0
Czechy,2015,15200.0
Czechy,2016,15800.0
Czechy,2017,17000.0
Czechy,2018,17700.0
Czechy,2019,18500.0
Czechy,2020,17900.0
Czechy,2021,18600.0
Czechy,2022,19400.0
Czechy,2023,20300.0
Czechy,2024,21500.0
Dania,1995,12300.0
Dania,1996,12900.0
Dania,1997,13300.0
Dania,1998,13900.0
Dania,1999,14000.0
Dania,2000,14500.0
Dania,2001,14600.0
Dania,2002,15200.0
Dania,2003,15400.0
Dania,2004,16400.0
Dania,2005,17100.0
Dania,2006,18300.0
Dania,2007,19400.0
Dania,2008,20100.0
Dania,2009,19900.0
Dania,2010,20600.0
Dania,2011,20900.0
Dania,2012,21100.0
Dania,2013,21500.0
Dania,2014,21500.0
Dania,2015,21900.0
Dania,2016,22000.0
Dania,2017,23000.0
Dania,2018,23800.0
Dania,2019,24000.0
Dania,2020,24000.0
Dania,2021,26300.0
Dania,2022,26100.0
Dania,2023,27300.0
Dania,2024,28200.0
Hiszpania,1995,9400.0
Hiszpania,1996,9800.0
Hiszpania,1997,10200.0
Hiszpania,1998,10700.0
Hiszpania,1999,11300.0
Hiszpania,2000,12200.0
Hiszpania,2001,13100.0
Hiszpania,2002,13800.0
Hiszpania,2003,14000.0
Hiszpania,2004,14700.0
Hiszpania,2005,15500.0
Hiszpania,2006,16400.0
Hiszpania,2007,16800.0
Hiszpania,2008,17000.0
Hiszpania,2009,16200.0
Hiszpania,2010,16100.0
Hiszpania,2011,16000.0
Hiszpania,2012,15800.0
Hiszpania,2013,15800.0
Hiszpania,2014,16300.0
Hiszpania,2015,17000.0
Hiszpania,2016,17400.0
Hiszpania,2017,18200.0
Hiszpania,2018,18500.0
Hiszpania,2019,18900.0
Hiszpania,2020,16700.0
Hiszpania,2021,18900.0
Hiszpania,2022,21000.0
Hiszpania,2023,22800.0
Hiszpania,2024,24300.0
Niemcy,1995,13700.0
Niemcy,1996,14400.0
Niemcy,1997,14400.0
Niemcy,1998,14600.0
Niemcy,1999,15400.0
Niemcy,2000,15800.0
Niemcy,2001,16300.0
Niemcy,2002,16600.0
Niemcy,2003,17400.0
Niemcy,2004,17900.0
Niemcy,2005,18400.0
Niemcy,2006,19000.0
Niemcy,2007,19700.0
Niemcy,2008,20200.0
Niemcy,2009,20300.0
Niemcy,2010,21000.0
Niemcy,2011,21900.0
Niemcy,2012,22300.0
Niemcy,2013,22500.0
Niemcy,2014,23000.0
Niemcy,2015,23300.0
Niemcy,2016,23900.0
Niemcy,2017,24600.0
Niemcy,2018,25400.0
Niemcy,2019,25900.0
Niemcy,2020,24800.0
Niemcy,2021,26200.0
Niemcy,2022,28700.0
Niemcy,2023,30000.0
Niemcy,2024,31000.0
Polska,1995,4500.0
Polska,1996,5100.0
Polska,1997,5400.0
Polska,1998,5800.0
Polska,1999,6300.0
Polska,2000,6700.0
Polska,2001,7000.0
Polska,2002,7500.0
Polska,2003,7700.0
Polska,2004,8200.0
Polska,2005,8300.0
Polska,2006,8900.0
Polska,2007,9900.0
Polska,2008,10800.0
Polska,2009,11100.0
Polska,2010,12200.0
Polska,2011,13000.0
Polska,2012,13600.0
Polska,2013,13600.0
Polska,2014,13800.0
Polska,2015,14400.0
Polska,2016,14600.0
Polska,2017,15400.0
Polska,2018,16100.0
Polska,2019,16800.0
Polska,2020,17200.0
Polska,2021,18600.0
Polska,2022,20200.0
Polska,2023,20800.0
Polska,2024,22200.0
