Kraj,Rok,Cena energii (EUR/kWh)
Czechy,2007,0.11599999999999999
Czechy,2008,0.14145000000000002
Czechy,2009,0.14939999999999998
Czechy,2010,0.15225
Czechy,2011,0.1643
Czechy,2012,0.1666
Czechy,2013,0.1663
Czechy,2014,0.13835
Czechy,2015,0.13965
Czechy,2016,0.14205
Czechy,2017,0.14629999999999999
Czechy,2018,0.15794999999999998
Czechy,2019,0.1759
Czechy,2020,0.18180000000000002
Czechy,2021,0.18425
Czechy,2022,0.20829999999999999
Czechy,2023,0.31705
Czechy,2024,0.33415
Czechy,2025,0.3179
Dania,2007,0.2401
Dania,2008,0.271
Dania,2009,0.2627
Dania,2010,0.26890000000000003
Dania,2011,0.2942
Dania,2012,0.29845
Dania,2013,0.2968
Dania,2014,0.30385
Dania,2015,0.3055
Dania,2016,0.3086
Dania,2017,0.30295
Dania,2018,0.31245
Dania,2019,0.2954
Dania,2020,0.28259999999999996
Dania,2021,0.3174
Dania,2022,0.5215
Dania,2023,0.36824999999999997
Dania,2024,0.37355000000000005
Dania,2025,0.3485
Hiszpania,2007,0.14
Hiszpania,2008,0.14615
Hiszpania,2009,0.16305
Hiszpania,2010,0.17895
Hiszpania,2011,0.20345000000000002
Hiszpania,2012,0.22325
Hiszpania,2013,0.22505
Hiszpania,2014,0.2266
Hiszpania,2015,0.23395
Hiszpania,2016,0.22344999999999998
Hiszpania,2017,0.22365000000000002
Hiszpania,2018,0.243
Hiszpania,2019,0.23985
Hiszpania,2020,0.22685
Hiszpania,2021,0.25695
Hiszpania,2022,0.32105
Hiszpania,2023,0.24004999999999999
Hiszpania,2024,0.2422
Hiszpania,2025,0.2608
Holandia,2007,0.175
Holandia,2008,0.17835
Holandia,2009,0.19424999999999998
Holandia,2010,0.1778
Holandia,2011,0.18015
Holandia,2012,0.1857
Holandia,2013,0.19014999999999999
Holandia,2014,0.1821
Holandia,2015,0.1916
Holandia,2016,0.16060000000000002
Holandia,2017,0.1595
Holandia,2018,0.18
Holandia,2019,0.2065
Holandia,2020,0.13965
Holandia,2021,0.1365
Holandia,2022,0.08785
Holandia,2023,0.3031
Holandia,2024,0.23345
Holandia,2025,0.2342
Niemcy,2007,0.20650000000000002
Niemcy,2008,0.21715
Niemcy,2009,0.2288
Niemcy,2010,0.24064999999999998
Niemcy,2011,0.25295
Niemcy,2012,0.26355
Niemcy,2013,0.29200000000000004
Niemcy,2014,0.29774999999999996
Niemcy,2015,0.29484999999999995
Niemcy,2016,0.2973
Niemcy,2017,0.3048
Niemcy,2018,0.29935
Niemcy,2019,0.2983
Niemcy,2020,0.30245
Niemcy,2021,0.32135
Niemcy,2022,0.3318
Niemcy,2023,0.40725
Niemcy,2024,0.3947
Niemcy,2025,0.3835
Polska,2007,0.138
Polska,2008,0.1277
Polska,2009,0.1211
Polska,2010,0.13615
Polska,2011,0.1411
Polska,2012,0.14735
Polska,2013,0.14584999999999998
Polska,2014,0.14145000000000002
Polska,2015,0.1431
Polska,2016,0.13419999999999999
Polska,2017,0.14485
Polska,2018,0.14029999999999998
Polska,2019,0.13595000000000002
Polska,2020,0.14925
Polska,2021,0.15610000000000002
Polska,2022,0.15339999999999998
Polska,2023,0.19655
Polska,2024,0.22835
Polska,2025,0.2559
