Kraj,Rok (X1),PKB per capita (PPS) (X2),Wskaźnik cen energii/paliwa (X3),Dotacje (X4),Ładowarki na mieszkańców (X5),Y_logit,Adnotacja_Danych
Czechy,2020,29175.6,0.43776710629414495,0.0,27.516040329972505,-3.6312421294448707,Zwalidowane dane historyczne
Czechy,2021,30499.9,0.3695839368891907,0.0,53.39138405132906,-3.43895358820577,Zwalidowane dane historyczne
Czechy,2022,32148.5,0.3158203762257958,0.0,111.4390467461045,-3.204412762840646,Zwalidowane dane historyczne
Czechy,2023,34664.5,0.5179200702430627,1.0,157.40604949587535,-2.76940569567966,Zwalidowane dane historyczne
Czechy,2024,36435.9,0.5774521915988657,2.0,200.9899175068744,-2.55486992406823,Zwalidowane dane historyczne
Dania,2020,40050.9,0.5014726445923142,1.0,189.3322203672788,-1.6280329906090651,Zwalidowane dane historyczne
Dania,2021,44236.9,0.48836845512280475,1.0,320.2337228714524,-0.609382810675123,Zwalidowane dane historyczne
Dania,2022,48266.2,0.6420667657056678,2.0,638.297161936561,-0.46753433174047015,Zwalidowane dane historyczne
Dania,2023,47539.5,0.4795217987288628,2.0,1211.702838063439,-0.16517451104141706,Zwalidowane dane historyczne
Dania,2024,50187.7,0.48088420356665473,2.0,2051.9198664440733,0.23345454565769386,Zwalidowane dane historyczne
Hiszpania,2020,25129.0,0.4952111878701456,1.0,33.97109708935478,-2.95927447431634,Zwalidowane dane historyczne
Hiszpania,2021,28282.8,0.4786958699087266,2.0,57.16059434154285,-2.465672188002861,Zwalidowane dane historyczne
Hiszpania,2022,31684.9,0.4635361936340205,2.0,122.35904742519845,-2.2253163122032342,Zwalidowane dane historyczne
Hiszpania,2023,34514.7,0.3772962267421916,2.0,220.89965397923874,-1.9615444484242412,Zwalidowane dane historyczne
Hiszpania,2024,36371.9,0.39473358496576916,2.0,282.74170567881134,-2.036731211360227,Zwalidowane dane historyczne
Niemcy,2020,37970.8,0.6035453759340149,2.0,180.2153625269203,-1.8660451086115237,Zwalidowane dane historyczne
Niemcy,2021,40533.0,0.5220352750058018,2.0,244.87197894233068,-1.0616199598225393,Zwalidowane dane historyczne
Niemcy,2022,43403.4,0.44360033030553264,2.0,349.04283321368746,-0.7968487734926045,Zwalidowane dane historyczne
Niemcy,2023,45253.1,0.566038240168214,1.0,484.59320411581723,-1.1314153373423494,Zwalidowane dane historyczne
Niemcy,2024,46414.1,0.5664817227465977,0.0,696.3328547499402,-1.371361281234318,Zwalidowane dane historyczne
Polska,2020,23914.3,0.383664246185372,0.0,8.356164383561643,-3.954919442548431,Zwalidowane dane historyczne
Polska,2021,26195.3,0.3343743252961047,1.0,29.572602739726026,-3.2761074960980214,Zwalidowane dane historyczne
Polska,2022,28149.4,0.2776585112551491,2.0,31.62191780821918,-2.8930137673590033,Zwalidowane dane historyczne
Polska,2023,29572.1,0.35225629640791856,2.0,55.47123287671233,-2.692792435306261,Zwalidowane dane historyczne
Polska,2024,31439.0,0.3969528514027163,2.0,89.96986301369863,-2.8060150147989074,Zwalidowane dane historyczne
